#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	AME2021_Qb	AME2020_D_Qb	AME2020_Qb1n	AME2020_D_Qb1n	AME2021_Qb2n	AME2021_D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi
8He	2	8	0	0	0	100	0	10663.8784	0.1005	8631.2602	0.0887	1380.1664	0.111117100394	0	0	0.1194	0.0015	16	1	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0015	1	0
9Li	3	9	0	0	0	100	0	13606.4541	0.2014	11941.9153	0.1896	0	0	0	0	0.1782	0.0004	50.5	1	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0004	1	0
11Li	3	11	0	0	0	100	0	20551.0898	0.6591	20049.454	0.6201	13237.1716	0.704814088962	11572.63	0.62	0.00858	0.00032	86.6	1.3	4.2	0.4	1.9	0.2	0.668	0.02	0.02	0.668	0.02	0.02	0.00032	1.3	0.4
11Be	4	11	0	0	0	100	0	11509.4607	0.238	55.2401	0.2382	0	0	0	0	13.74	0.08	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.08	0	0
12Be	4	12	0	0	0	100	0	11708.3636	2.3214	8338.7353	1.9086	0	0	0	0	0.02147	4E-05	0.5	0.03	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4E-05	0.03	0
14Be	4	14	0	0	0	100	0	16290.8166	133.9357	15321.2364	132.2489	10442.4684	135.61165604	7070	130	0.00453	0.00027	86	6	5	2	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.00027	6	2
13B	5	13	0	0	0	100	0	13436.9387	1.0001	8490.63	1.0001	0	0	0	0	0.01716	0.00018	0.266	0.036	0	0	0	0	0.646708	0.047274519707107	0.027354721156276	0.673088	0.020193524486072	0.020192642005681	0.00018	0.036	0
14B	5	14	0	0	0	100	0	20643.7926	21.2133	12467.3585	21.2133	7521.0498	21.2133003585	0	0	0.01236	0.00029	6.04	0.23	0	0	0	0	0.625193	0.051561269374639	0.036851071891115	0.66771	0.026230008305184	0.02077000432571	0.00029	0.23	0
15B	5	15	0	0	0	100	0	19084.2343	21.0442	17866.1681	21.029	9689.734	21.0594006002	4744	21	0.01018	0.00035	98.93	0.83	0.75	0.75	0	0	0.600501	0.095219700198546	0.047360123584097	0.663133	0.031741795697788	0.021231644475172	0.00035	0.83	0.75
17B	5	17	0	0	0	100	0	22684.4422	204.841	21950.8705	204.135	17700.5404	205.577271117	16480	200	0.00508	5E-05	63	1	12	2	3.5	0.7	0.587135	0.119520044270417	0.050273654396737	0.644615	0.047936816930231	0.028125321907536	5E-05	1	2
19B	5	19	0	0	0	100	0	27356.4961	534.4964	26779.6669	526.2185	22595.735	543.754015797	21860	530	0.00292	0.00013	71.4	8.7	16.4	5.2	4.55	4.55	0.56832	0.125380634534046	0.056194866101451	0.632776	0.048912995824815	0.033492365825041	0.00013	8.7	5.2
16C	6	16	0	0	0	100	0	8010.226	4.254	5521.377	3.5777	0	0	0	0	0.7546	0.008	99.28	0.12	0	0	0	0	0.660304	0.033968886649026	0.02186153560879	0.673089	0.020193554484758	0.020192670222853	0.008	0.12	0
17C	6	17	0	0	0	100	0	13161.8007	22.9464	7276.6542	17.5167	4787.8052	27.4141801439	0	0	0.191	0.006	28.4	1.3	0	0	0	0	0.652744	0.043747476002421	0.025090194351228	0.670087	0.021374086479008	0.02035163887288	0.006	1.3	0
18C	6	18	0	0	0	100	0	11806.0982	35.2821	8977.8688	33.541	3092.7223	39.9368320598	604	30	0.092	0.002	22	4.4	0	0	0	0	0.643851	0.04778759043079	0.028402236323587	0.6732	0.020604990681871	0.020206169775591	0.002	4.4	0
19C	6	19	0	0	0	100	0	16557.4995	99.7475	11229.269	100.1265	8401.0397	102.19416686	2516	98	0.0462	0.004	47	3	7	3	0	0	0.633014	0.049262491581084	0.033488176133919	0.665429	0.028250951818247	0.021086020929443	0.004	3	3
20C	6	20	0	0	0	100	0	15737.0689	243.7459	13575.9936	231.2074	8247.7632	256.867993854	5420	230	0.0162	0.0035	66	14	9.3	9.3	0	0	0.620047	0.062415300167412	0.039325517898536	0.665842	0.027902676145266	0.021028604234889	0.0035	14	9.3
22C	6	22	0	0	0	100	0	21846.3983	311.0627	20307.9695	267.5007	15702.0689	382.304241007	13540	230	0.0062	0.0013	61.5	13.5	18.5	18.5	0	0	0.584585	0.095368381678639	0.055976232670684	0.650563	0.047640252689004	0.025928630802109	0.0013	13.5	18.5
17N	7	17	0	0	0	100	0	8678.843	15	4535.7629	15	0	0	0	0	4.171	0.004	95.1	0.7	0	0	0	0	0.663637	0.029832327264095	0.021334734237672	0.673089	0.020193563868939	0.02019267	0.004	0.7	0
18N	7	18	0	0	0	100	0	13895.9838	18.5695	5850.6136	18.5695	1707.5335	18.5695000326	0	0	0.619	0.002	10.9	0.9	0	0	0	0	0.658111	0.036566164188891	0.022795225716998	0.673665	0.020215298761149	0.020290216558788	0.002	0.9	0
19N	7	19	0	0	0	100	0	12523.3972	16.6143	8567.7533	16.4037	522.3831	16.8222689757	0	0	0.336	0.003	41.8	0.9	0	0	0	0	0.646243	0.047731642571193	0.027531642114921	0.672809	0.02020790153462	0.020187000258406	0.003	0.9	0
20N	7	20	0	0	0	100	0	17970.3261	78.8991	10362.322	78.9382	6406.678	78.904062182	0	0	0.136	0.003	42.9	1.4	0	0	0	0	0.636578	0.053771545924175	0.032435966442756	0.669253	0.024722845633302	0.02046187746049	0.003	1.4	0
21N	7	21	0	0	0	100	0	17169.8816	134.584	13364.4256	134.0508	5756.4215	135.143650327	1800	130	0.0848	0.0067	86.5	4.2	0	0	0	0	0.620815	0.058828946504272	0.038984556452556	0.669481	0.023448725603429	0.020425848560706	0.0067	4.2	0
22N	7	22	0	0	0	100	0	22481.7725	215.435	15631.4527	208.1255	11825.9967	222.829587406	4220	210	0.0195	0.002	34	3	12	3	0	0	0.607931	0.082486484442513	0.046643402434695	0.657792	0.036889910649629	0.022943515418035	0.002	3	3
23N	7	23	0	0	0	100	0	22099.0584	437.8271	19366.0789	424.404	12515.7591	454.58810884	8710	420	0.01395	0.00135	42.1	6.4	8.2	3.6	1.7	1.7	0.599915	0.106537168361575	0.044053970382958	0.656479	0.037629354308796	0.023580441762124	0.00135	6.4	3.6
22O	8	22	0	0	0	100	0	6489.6562	58.2558	1259.3192	56.9495	0	0	0	0	2.25	0.09	11	11	0	0	0	0	0.6732	0.020524247903395	0.020213336810136	0.673091	0.020193623866283	0.020192734184674	0.09	11	0
23O	8	23	0	0	0	100	0	11336.1072	126.1904	3756.6767	122.3418	0	0	0	0	0.097	0.008	7	2	0	0	0	0	0.6677	0.026242049653181	0.020772360506211	0.673091	0.020193623866283	0.020192734184674	0.008	2	0
24O	8	24	0	0	0	100	0	10955.8885	191.6327	7143.8229	168.2077	0	0	0	0	0.072	0.005	41	6	0	0	0	0	0.653164	0.042672022905018	0.024940845811768	0.673091	0.020193623866283	0.020192734184674	0.005	6	0
22F	9	22	0	0	0	100	0	10818.0916	12.399	453.8342	12.3991	0	0	0	0	4.23	0.04	5.5	5.5	0	0	0	0	0.672543	0.020200076192037	0.020188291016431	0.673092	0.020193663298609	0.02019277198449	0.04	5.5	0
23F	9	23	0	0	0	100	0	8439.3084	33.3206	3238.6611	33.3204	0	0	0	0	2.23	0.14	7	7	0	0	0	0	0.669141	0.024819120352924	0.020480483175279	0.673092	0.020193663298609	0.02019277198449	0.14	7	0
24F	9	24	0	0	0	100	0	13496.1583	97.6717	4627.2428	97.6704	0	0	0	0	0.382	0.016	2.95	2.95	0	0	0	0	0.663489	0.030380753641227	0.021304457580725	0.673092	0.020193663298609	0.02019277198449	0.016	2.95	0
25F	9	25	0	0	0	100	0	13369.6698	100.7212	9214.4912	96.4438	345.5757	104.825575122	0	0	0.075	0.01	19.5	5	0	0	0	0	0.642512	0.048942513953919	0.028894777713795	0.673226	0.0202475532193	0.020197437742654	0.01	5	0
26F	9	26	0	0	0	100	0	18193.5414	108.6022	12638.8399	110.8984	8483.6612	110.15589069	0	0	0.0082	0.0009	13.5	4	0	0	0	0	0.629496	0.047210645553883	0.035004234338354	0.665137	0.028473564053207	0.021127840445538	0.0009	4	0
26F	9	26	1	643.4	0.1	18	11	0	0	0	0	0	0	0	0	0.0022	0.0001	12	8	0	0	0	0	0.673092	0.020193663298609	0.02019277198449	0.673092	0.020193663298609	0.02019277198449	0.0001	8	0
27F	9	27	0	0	0	100	0	18082.568	150.6211	16581.0463	121.6023	11026.3448	178.240251464	7190	390	0.0057	0.0008	80	20	0	0	0	0	0.615798	0.072880288549948	0.041805340126874	0.660334	0.033968599152753	0.021850099619919	0.0008	20	0
29F	9	29	0	0	0	100	0	21750.3873	546.2212	20779.1341	540.2768	16956.6442	573.540337567	15460	530	0.00267	0.00021	60	40	0	0	0	0	0.601005	0.094704166186195	0.047482415534832	0.646885	0.04710077570383	0.027287390346138	0.00021	40	0
26Ne	10	26	0	0	0	100	0	7341.894	18.7585	1767.6091	18.4678	0	0	0	0	0.195	0.002	0.13	0.03	0	0	0	0	0.6732	0.020919477335727	0.020201679558888	0.673092	0.020193663298609	0.02019277198449	0.002	0.03	0
27Ne	10	27	0	0	0	100	0	12568.7005	90.8467	5840.3723	90.8378	266.0875	90.9310055865	0	0	0.0289	0.0011	2	0.5	0	0	0	0	0.658079	0.036606899653165	0.022809905703814	0.673154	0.020200759415042	0.020195019335084	0.0011	0.5	0
