# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{130}Ag	47	130	-0.0450377	0.00303447	0.00307399	0.00900754	0.225189	-65.8128	4.58699	5.90396	0	200	-25	0	0	0	200	0.620705	0.0464569	0.0285356	0	1
^{130}Cd	48	130	0.135321	0.00103727	0.00106699	0.0270642	0.676605	2.93721	0.181365	0.217243	0	200	0	0	0	0	200	0.646216	0.0254753	0.0201224	0	1
^{129}Cd	48	129	0.1559	0.0013	0.0013	0.03118	0.7795	1.84	0.15	0.15	0	200	0	0	0	0	200	0.64794	0.0236617	0.0197813	0	1
^{128}Cd	48	128	0.243	0.011	0.011	0.0486	1.215	0	0	0	0	200	0	0	0	0	200	0.651608	0.0200654	0.0195561	0	1
^{130}In	49	130	0.275	0.008	0.008	0.055	1.375	1.2	0.29	0.29	0	200	0	0	0	0	200	0.648055	0.0218546	0.0197637	0	1
^{129}In	49	129	0.609	0.007	0.007	0.1218	3.045	0.23	0.1	0.1	0	200	0	0	0	0	200	0.648101	0.021001	0.0197569	0	1
^{128}In	49	128	0.84	0.06	0.06	0.168	4.2	0.0192	0.0036	0.0036	0	200	0	0	0	0	200	0.651608	0.0198672	0.0195647	0	1
^{130}Sn	50	130	223.2	4.2	4.2	44.64	1116	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Sn	50	129	133.8	2.4	2.4	26.76	669	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sn	50	128	3544.2	8.4	8.4	708.84	17721	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Sn	50	127	7560	144	144	1512	37800	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sb	51	130	2370	48	48	474	11850	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Sb	51	129	15717.6	93.6	93.6	3143.52	78588	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sb	51	128	32580	144	144	6516	162900	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Sb	51	127	332640	4320	4320	66528	1.6632e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Te	52	129	4194	18	18	838.8	20970	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{127}Te	52	127	33660	252	252	6732	168300	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
