# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{138}Sn	50	138	-0.148383	0.019447	0.0217715	0.0296766	0.741915	-27.0482	4.70893	3.54481	0	200	-1.76533	1.2504	1.25839	0	200	0.633723	0.0385246	0.0236247	0	1
^{138}Sb	51	138	0.348	0.015	0.015	0.0696	1.74	33.51	2.1	2.1	0	200	0	0	0	0	200	0.633367	0.0388566	0.0237443	0	1
^{137}Sb	51	137	0.492	0.025	0.025	0.0984	2.46	34.9	1.25	1.25	0	200	0.29	0.19	0.19	0	200	0.634376	0.0378386	0.0233684	0	1
^{136}Sb	51	136	0.923	0.014	0.014	0.1846	4.615	18.2	0.74	0.74	0	200	0.24	0.11	0.11	0	200	0.640256	0.0328599	0.0207487	0	1
^{138}Te	52	138	1.4	0.4	0.4	0.28	7	4.82	0.23	0.23	0	200	0	0	0	0	200	0.648055	0.0218484	0.0197637	0	1
^{137}Te	52	137	2.51	0.05	0.05	0.502	12.55	2.91	0.16	0.16	0	200	0	0	0	0	200	0.649167	0.0207702	0.0196441	0	1
^{136}Te	52	136	17.67	0.09	0.09	3.534	88.35	1.37	0.05	0.05	0	200	0	0	0	0	200	0.651608	0.0198757	0.0195626	0	1
^{135}Te	52	135	19	0.2	0.2	3.8	95	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Te	52	134	2508	48	48	501.6	12540	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{138}I	53	138	6.251	0.031	0.031	1.2502	31.255	5.3	0.21	0.21	0	200	0	0	0	0	200	0.64829	0.0206456	0.0197333	0	1
^{137}I	53	137	24.59	0.1	0.1	4.918	122.95	7.63	0.14	0.14	0	200	0	0	0	0	200	0.650124	0.020779	0.0195807	0	1
^{136}I	53	136	83.4	1	1	16.68	417	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}I	53	135	23688	108	108	4737.6	118440	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}I	53	134	3150	12	12	630	15750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{138}Xe	54	138	844.8	4.8	4.8	168.96	4224	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{137}Xe	54	137	229.08	0.78	0.78	45.816	1145.4	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}Xe	54	135	32904	72	72	6580.8	164520	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{138}Cs	55	138	2004.6	10.8	10.8	400.92	10023	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
