# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{132}In	49	132	-0.2	0.002	0.002	0.04	1	-7.4	1.4	1.4	0	200	-25	0	0	0	200	0.632768	0.0398499	0.0239495	0	1
^{132}Sn	50	132	39.7	0.8	0.8	7.94	198.5	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sn	50	131	56	0.5	0.5	11.2	280	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sn	50	130	223.2	4.2	4.2	44.64	1116	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Sb	51	132	167.4	4.2	4.2	33.48	837	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sb	51	131	1381.8	2.4	2.4	276.36	6909	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sb	51	130	2370	48	48	474	11850	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Te	52	132	276826	1123.2	1123.2	55365.1	1.38413e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Te	52	131	1500	6	6	300	7500	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}I	53	132	8262	46.8	46.8	1652.4	41310	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}I	53	131	693377	51.84	51.84	138675	3.46689e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
