# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{133}Cd	48	133	-0.064	0.008	0.008	0.0128	0.32	-50	0	0	0	200	-25	0	0	0	200	0.615554	0.0511475	0.0318027	0	1
^{133}In	49	133	0.165584	0.00330812	0.00358664	0.0331168	0.82792	88.8725	3.50884	5.13602	0	200	0	0	0	0	200	0.613189	0.0483863	0.0324254	0	1
^{132}In	49	132	0.213787	0.0075886	0.00759729	0.0427574	1.06893	12.1845	0.955727	0.951055	0	200	0	0	0	0	200	0.632768	0.0398499	0.0239495	0	1
^{131}In	49	131	0.27797	0.00638247	0.00645696	0.055594	1.38985	2.8474	0.306719	0.171141	0	200	0	0	0	0	200	0.644111	0.0273255	0.0204064	0	1
^{133}Sn	50	133	1.42	0.06	0.06	0.284	7.1	0.0294	0.0024	0.0024	0	200	0	0	0	0	200	0.652234	0.019577	0.0196618	0	1
^{132}Sn	50	132	39.7	0.8	0.8	7.94	198.5	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sn	50	131	56	0.5	0.5	11.2	280	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sn	50	130	223.2	4.2	4.2	44.64	1116	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Sb	51	133	140.4	3	3	28.08	702	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Sb	51	132	167.4	4.2	4.2	33.48	837	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sb	51	131	1381.8	2.4	2.4	276.36	6909	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sb	51	130	2370	48	48	474	11850	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Te	52	133	750	18	18	150	3750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Te	52	132	276826	1123.2	1123.2	55365.1	1.38413e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Te	52	131	1500	6	6	300	7500	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}I	53	133	74988	288	288	14997.6	374940	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}I	53	132	8262	46.8	46.8	1652.4	41310	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}I	53	131	693377	51.84	51.84	138675	3.46689e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Xe	54	133	453384	43.2	43.2	90676.8	2.26692e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
