# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{136}In	49	136	-0.086	0.009	0.009	0.0172	0.43	-50	0	0	0	200	-25	0	0	0	200	0.60775	0.0469136	0.0347352	0	1
^{136}Sn	50	136	0.366329	0.00421752	0.00460364	0.0732658	1.83164	18.4973	1.33296	2.86848	0	200	0	0	0	0	200	0.62306	0.0585591	0.0585591	0	1
^{135}Sn	50	135	0.514198	0.0296005	0.0298024	0.10284	2.57099	19.951	2.03933	1.71081	0	200	0	0	0	0	200	0.639276	0.0328765	0.021103	0	1
^{134}Sn	50	134	1.01906	0.0333265	0.0340617	0.203812	5.0953	24.142	1.08012	1.44529	0	200	0	0	0	0	200	0.642283	0.0291302	0.0206364	0	1
^{136}Sb	51	136	0.923	0.014	0.014	0.1846	4.615	18.2	0.74	0.74	0	200	0.24	0.11	0.11	0	200	0.640256	0.0328599	0.0207487	0	1
^{135}Sb	51	135	1.668	0.01	0.01	0.3336	8.34	22.86	0.92	0.92	0	200	0	0	0	0	200	0.641648	0.0314707	0.020507	0	1
^{134}Sb	51	134	0.675	0.006	0.006	0.135	3.375	0	0	0	0	200	0	0	0	0	200	0.651997	0.0195747	0.0196094	0	1
^{133}Sb	51	133	140.4	3	3	28.08	702	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{136}Te	52	136	17.67	0.09	0.09	3.534	88.35	1.37	0.05	0.05	0	200	0	0	0	0	200	0.651608	0.0198757	0.0195626	0	1
^{135}Te	52	135	19	0.2	0.2	3.8	95	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Te	52	134	2508	48	48	501.6	12540	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Te	52	133	750	18	18	150	3750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{136}I	53	136	83.4	1	1	16.68	417	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}I	53	135	23688	108	108	4737.6	118440	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}I	53	134	3150	12	12	630	15750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}I	53	133	74988	288	288	14997.6	374940	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}Xe	54	135	32904	72	72	6580.8	164520	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Xe	54	133	453384	43.2	43.2	90676.8	2.26692e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
