# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{131}Ag	47	131	-0.035	0.008	0.008	0.007	0.175	-50	0	0	0	200	-25	0	0	0	200	0.605079	0.0500034	0.0356882	0	1
^{131}Cd	48	131	0.10013	0.00144075	0.00146723	0.020026	0.50065	13.5618	0.596352	1.17357	0	200	0	0	0	0	200	0.633234	0.0389788	0.0237894	0	1
^{130}Cd	48	130	0.135321	0.00103727	0.00106699	0.0270642	0.676605	2.93721	0.181365	0.217243	0	200	0	0	0	0	200	0.646216	0.0254753	0.0201224	0	1
^{129}Cd	48	129	0.151	0.004	0.004	0.0302	0.755	0	0	0	0	200	0	0	0	0	200	0.64794	0.0236617	0.0197813	0	1
^{131}In	49	131	0.277924	0.00640932	0.00649152	0.0555848	1.38962	2.84337	0.318874	0.17275	0	200	0	0	0	0	200	0.644111	0.0273255	0.0204064	0	1
^{130}In	49	130	0.275	0.008	0.008	0.055	1.375	1.2	0.29	0.29	0	200	0	0	0	0	200	0.648055	0.0218546	0.0197637	0	1
^{129}In	49	129	0.609	0.007	0.007	0.1218	3.045	0.23	0.1	0.1	0	200	0	0	0	0	200	0.648101	0.021001	0.0197569	0	1
^{131}Sn	50	131	56	0.5	0.5	11.2	280	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sn	50	130	223.2	4.2	4.2	44.64	1116	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Sn	50	129	133.8	2.4	2.4	26.76	669	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sn	50	128	3544.2	8.4	8.4	708.84	17721	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Sb	51	131	1381.8	2.4	2.4	276.36	6909	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{130}Sb	51	130	2370	48	48	474	11850	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Sb	51	129	15717.6	93.6	93.6	3143.52	78588	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{128}Sb	51	128	32580	144	144	6516	162900	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}Te	52	131	1500	6	6	300	7500	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{129}Te	52	129	4194	18	18	838.8	20970	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{131}I	53	131	693377	51.84	51.84	138675	3.46689e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
