# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_HL	Abs_Error_HL_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n	Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n	Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff_Err	Neu.Eff_ErrHi	lowerNeu.Eff	upperNeu.Eff	AlphaBR	D_AlphaBR	D_AlphaBR_Hi	lowerAlphaBR	upperAlphaBR
^{212}Hg	80	212	-20.599	20.393	2039.3	4.1198	102.995	0.02	0.018	0.18	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{212}Tl	81	212	30.9	8	8	6.18	154.5	1.8	1.8	1.8	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{211}Tl	81	211	79.6	15.2	15.4	15.92	398	2.2	2.2	2.2	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{212}Pb	82	212	38260.8	21.6	21.6	7652.16	191304	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{211}Pb	82	211	2169.9	0.06	0.06	433.98	10849.5	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0	0	0	0	200
^{210}Pb	82	210	7.00564e+08	5.36468e+06	5.36468e+06	1.40113e+08	3.50282e+09	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	1.9e-06	4e-07	4e-07	0	200
^{212}Bi	83	212	3633.06	3.54	3.54	726.612	18165.3	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	35.94	0.06	0.06	0	200
^{211}Bi	83	211	128.4	1.8	1.8	25.68	642	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	99.724	0.004	0.004	0	200
^{210}Bi	83	210	433037	432	432	86607.4	2.16518e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	0.000132	1e-05	1e-05	0	200
^{212}Po	84	212	2.95e-07	4e-10	4e-10	5.9e-08	1.475e-06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	100	0	0	0	200
^{211}Po	84	211	0.516	0.003	0.003	0.1032	2.58	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	100	0	0	0	200
^{210}Po	84	210	1.19559e+07	345.6	345.6	2.39118e+06	5.97795e+07	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1	100	0	0	0	200
