# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{136}In	49	136	-0.0905717	0.0100542	0.0101347	0.0181143	0.452859	-83.2772	9.8288	5.18881	0	200	-12.8049	4.33552	4.53853	0	200	0.60775	0.046861	0.0346512	0	1
^{136}Sn	50	136	0.366344	0.00421495	0.00460468	0.0732688	1.83172	18.4735	1.31449	2.8363	0	200	0	0	0	0	200	0.62306	0.0585591	0.0585591	0	1
^{135}Sn	50	135	0.514581	0.0295493	0.0297188	0.102916	2.5729	20.0773	2.06742	1.67964	0	200	0	0	0	0	200	0.639276	0.0328765	0.021103	0	1
^{134}Sn	50	134	1.0186	0.0333065	0.0343189	0.20372	5.093	24.1019	1.06473	1.42921	0	200	0	0	0	0	200	0.642283	0.0291302	0.0206364	0	1
^{136}Sb	51	136	0.923	0.014	0.014	0.1846	4.615	18.2	0.74	0.74	0	200	0.24	0.11	0.11	0	200	0.640256	0.0328599	0.0207487	0	1
^{135}Sb	51	135	1.668	0.01	0.01	0.3336	8.34	22.86	0.92	0.92	0	200	0	0	0	0	200	0.641648	0.0314707	0.020507	0	1
^{134}Sb	51	134	0.675	0.006	0.006	0.135	3.375	0	0	0	0	200	0	0	0	0	200	0.651997	0.0195747	0.0196094	0	1
^{133}Sb	51	133	140.4	3	3	28.08	702	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{136}Te	52	136	17.67	0.09	0.09	3.534	88.35	1.37	0.05	0.05	0	200	0	0	0	0	200	0.651608	0.0198757	0.0195626	0	1
^{135}Te	52	135	19	0.2	0.2	3.8	95	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Te	52	134	2508	48	48	501.6	12540	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Te	52	133	750	18	18	150	3750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{136}I	53	136	83.4	1	1	16.68	417	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}I	53	135	23688	108	108	4737.6	118440	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}I	53	134	3150	12	12	630	15750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}I	53	133	74988	288	288	14997.6	374940	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{135}Xe	54	135	32904	72	72	6580.8	164520	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Xe	54	133	453384	43.2	43.2	90676.8	2.26692e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
