# Note should start from #, non-zero upper value indicate varying variable, half-life is in second
# RI should be in the sequences of increasing Z and decreasing A for each isotropic row
#Name	Z	A	Half-life	Abs_Error_Half-life Abs_Error_Half-life_Hi	lowerHL	upperHL	P1n	Abs_Error_P1n   Abs_Error_P1n_Hi	lowerP1n	upperP1n	P2n	Abs_Error_P2n   Abs_Error_P2n_Hi	lowerP2n	upperP2n	Neu.Eff	Neu.Eff Err	Neu.Eff ErrHi	lowerNeu.Eff	upperNeu.Eff    isomer_ratio	isomer_ratio_err	lower_isomer_ratio	upper_isomer_ratio  ...
^{134}Sn	50	134	-1.0186	0.0333065	0.0343189	0.20372	5.093	-24.1019	1.06473	1.42921	0	200	-25	0	0	0	200	0.642283	0.0291302	0.0206364	0	1
^{134}Sb	51	134	0.675	0.006	0.006	0.135	3.375	0	0	0	0	200	0	0	0	0	200	0.651997	0.0195747	0.0196094	0	1
^{133}Sb	51	133	140.4	3	3	28.08	702	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Sb	51	132	167.4	4.2	4.2	33.48	837	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}Te	52	134	2508	48	48	501.6	12540	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Te	52	133	750	18	18	150	3750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}Te	52	132	276826	1123.2	1123.2	55365.1	1.38413e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{134}I	53	134	3150	12	12	630	15750	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}I	53	133	74988	288	288	14997.6	374940	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{132}I	53	132	8262	46.8	46.8	1652.4	41310	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
^{133}Xe	54	133	453384	43.2	43.2	90676.8	2.26692e+06	0	0	0	0	200	0	0	0	0	200	0.646575	0.0193585	0.0193585	0	1
