N-Z,N,Z,A,EL,O,Mass_excess_keV,D_Mass_excess_keV,is_from_experiment,Binding_enrgy_perA_keV,D_Binding_enrgy_perA_keV,is_from_experiment,Decay_mode,Qbeta_keV,D_Qbeta_keV,is_from_experiment,A,Atomic_mass_microu,D_Atomic_mass_microu,is_from_experiment
1,1,0,1,n,na,8071.31806,0.00044,1,0.0,0.0,1,B-,782.347,0.0004,1,1,8664.9159,0.00047,1
-1,0,1,1,H,na,7288.971064,1.3e-05,1,0.0,0.0,1,B-,999999.0,999999.0,1,1,7825.031898,1.4e-05,1
0,1,1,2,H,na,13135.722895,1.5e-05,1,1112.2831,0.0002,1,B-,999999.0,999999.0,1,2,14101.777844,1.5e-05,1
1,2,1,3,H,na,14949.8109,8e-05,1,2827.2654,0.0003,1,B-,18.59202,6e-05,1,3,16049.28132,8e-05,1
-1,1,2,3,He,na,14931.21888,6e-05,1,2572.68044,0.00015,1,B-,-13736.0,2000.0,0,3,16029.32197,6e-05,1
-3,0,3,3,Li,-pp,28667.0,2000.0,0,-2267.0,667.0,0,B-,999999.0,999999.0,1,3,30775.0,2147.0,0
2,3,1,4,H,-n,24621.129,100.0,1,1720.4491,25.0,1,B-,22196.2131,100.0,1,4,26431.867,107.354,1
0,2,2,4,He,na,2424.91587,0.00015,1,7073.9156,0.0002,1,B-,-22898.274,212.132,1,4,2603.25413,0.00016,1
-2,1,3,4,Li,-p,25323.19,212.132,1,1153.7603,53.033,1,B-,999999.0,999999.0,1,4,27185.561,227.733,1
3,4,1,5,H,-nn,32892.447,89.443,1,1336.3592,17.8885,1,B-,21661.2131,91.6515,1,5,35311.492,96.02,1
1,3,2,5,He,-n,11231.234,20.0,1,5512.1325,4.0,1,B-,-447.6529,53.8516,1,5,12057.224,21.47,1
-1,2,3,5,Li,-p,11678.887,50.0,1,5266.1325,10.0,1,B-,-25460.0,2003.0,0,5,12537.8,53.677,1
-3,1,4,5,Be,x,37139.0,2003.0,0,18.0,401.0,0,B-,999999.0,999999.0,1,5,39870.0,2150.0,0
4,5,1,6,H,-3n,41875.725,254.127,1,961.6395,42.3545,1,B-,24283.6294,254.1268,1,6,44955.437,272.816,1
2,4,2,6,He,na,17592.095,0.053,1,4878.5199,0.0089,1,B-,3505.2147,0.0532,1,6,18885.889,0.057,1
0,3,3,6,Li,na,14086.88044,0.00144,1,5332.3312,0.0003,1,B-,-4288.1534,5.4478,1,6,15122.88742,0.00155,1
-2,2,4,6,Be,-,18375.034,5.448,1,4487.2478,0.908,1,B-,-28945.0,2003.0,0,6,19726.409,5.848,1
-4,1,5,6,B,x,47320.0,2003.0,0,-467.0,334.0,0,B-,999999.0,999999.0,1,6,50800.0,2150.0,0
5,6,1,7,H,-nn,49135.0,1004.0,0,940.0,143.0,0,B-,23062.0,1004.0,0,7,52749.0,1078.0,0
3,5,2,7,He,-n,26073.128,7.559,1,4123.0578,1.0799,1,B-,11166.0229,7.5595,1,7,27990.652,8.115,1
1,4,3,7,Li,na,14907.10463,0.00419,1,5606.4401,0.0006,1,B-,-861.893,0.0707,1,7,16003.43426,0.0045,1
-1,3,4,7,Be,na,15768.998,0.071,1,5371.5487,0.0101,1,B-,-11907.5551,25.1504,1,7,16928.714,0.076,1
-3,2,5,7,B,p4n,27676.553,25.15,1,3558.7055,3.5929,1,B-,999999.0,999999.0,1,7,29712.0,27.0,1
4,6,2,8,He,na,31609.683,0.089,1,3924.521,0.0111,1,B-,10663.8784,0.1005,1,8,33934.388,0.095,1
2,5,3,8,Li,na,20945.805,0.047,1,5159.7124,0.0059,1,B-,16004.1329,0.0591,1,8,22486.244,0.05,1
0,4,4,8,Be,-a,4941.672,0.035,1,7062.4356,0.0044,1,B-,-17979.8973,1.0005,1,8,5305.102,0.037,1
-2,3,5,8,B,na,22921.569,1.0,1,4717.1551,0.125,1,B-,-12142.7002,18.2704,1,8,24607.315,1.073,1
-4,2,6,8,C,na,35064.269,18.243,1,3101.5242,2.2804,1,B-,999999.0,999999.0,1,8,37643.039,19.584,1
5,7,2,9,He,na,40935.826,46.816,1,3349.038,5.2018,1,B-,15980.9213,46.8169,1,9,43946.414,50.259,1
3,6,3,9,Li,-3n,24954.905,0.186,1,5037.7685,0.0207,1,B-,13606.4541,0.2014,1,9,26790.191,0.2,1
1,5,4,9,Be,na,11348.451,0.076,1,6462.6693,0.0085,1,B-,-1068.0349,0.8994,1,9,12183.062,0.082,1
-1,4,5,9,B,-,12416.486,0.903,1,6257.0713,0.1003,1,B-,-16494.4854,2.3195,1,9,13329.645,0.969,1
-3,3,6,9,C,-pp,28910.971,2.137,1,4337.4233,0.2374,1,B-,999999.0,999999.0,1,9,31037.202,2.293,1
6,8,2,10,He,-nn,49197.147,92.848,1,2995.134,9.2848,1,B-,16144.5191,93.7152,1,10,52815.306,99.676,1
4,7,3,10,Li,-n,33052.628,12.721,1,4531.3512,1.2721,1,B-,20445.1411,12.7216,1,10,35483.453,13.656,1
2,6,4,10,Be,na,12607.487,0.081,1,6497.6306,0.0081,1,B-,556.8759,0.0822,1,10,13534.692,0.086,1
0,5,5,10,B,na,12050.611,0.015,1,6475.0835,0.0015,1,B-,-3648.0623,0.0687,1,10,12936.862,0.016,1
-2,4,6,10,C,na,15698.673,0.07,1,6032.0426,0.007,1,B-,-23101.3545,400.0,1,10,16853.217,0.075,1
-4,3,7,10,N,--,38800.027,400.0,1,3643.6724,40.0,1,B-,999999.0,999999.0,1,10,41653.54,429.417,1
5,8,3,11,Li,x,40728.259,0.615,1,4155.3817,0.0559,1,B-,20551.0898,0.6591,1,11,43723.581,0.66,1
3,7,4,11,Be,na,20177.169,0.238,1,5952.5402,0.0216,1,B-,11509.4607,0.238,1,11,21661.08,0.255,1
1,6,5,11,B,na,8667.708,0.012,1,6927.7323,0.0011,1,B-,-1981.6889,0.0608,1,11,9305.166,0.013,1
-1,5,6,11,C,na,10649.397,0.06,1,6676.4563,0.0054,1,B-,-13716.2469,5.0008,1,11,11432.597,0.064,1
-3,4,7,11,N,-p,24365.644,5.0,1,5358.4023,0.4546,1,B-,-23373.2693,60.2459,1,11,26157.593,5.368,1
-5,3,8,11,O,-pp,47738.913,60.038,1,3162.4372,5.458,1,B-,999999.0,999999.0,1,11,51249.828,64.453,1
6,9,3,12,Li,-n,49009.577,30.006,1,3791.5999,2.5005,1,B-,23931.8152,30.0669,1,12,52613.942,32.213,1
4,8,4,12,Be,na,25077.761,1.909,1,5720.7223,0.159,1,B-,11708.3636,2.3214,1,12,26922.082,2.048,1
2,7,5,12,B,na,13369.398,1.321,1,6631.2237,0.1101,1,B-,13369.3979,1.3214,1,12,14352.638,1.418,1
0,6,6,12,C,na,0.0,0.0,1,7680.1446,0.0002,1,B-,-17338.0681,0.9999,1,12,0.0,0.0,1
-2,5,7,12,N,na,17338.068,1.0,1,6170.11,0.0833,1,B-,-14675.2668,12.0418,1,12,18613.18,1.073,1
-4,4,8,12,O,-pp,32013.335,12.0,1,4881.9755,1.0,1,B-,999999.0,999999.0,1,12,34367.726,12.882,1
7,10,3,13,Li,-nn,56980.895,70.003,1,3507.6307,5.3848,1,B-,23321.8152,70.7391,1,13,61171.503,75.15,1
5,9,4,13,Be,-n,33659.08,10.18,1,5241.4359,0.7831,1,B-,17097.1315,10.2295,1,13,36134.506,10.929,1
3,8,5,13,B,-nn,16561.948,1.0,1,6496.4194,0.0769,1,B-,13436.9387,1.0001,1,13,17779.981,1.073,1
1,7,6,13,C,na,3125.00933,0.00023,1,7469.8495,0.0002,1,B-,-2220.4718,0.2695,1,13,3354.83534,0.00025,1
-1,6,7,13,N,-p,5345.481,0.27,1,7238.8634,0.0207,1,B-,-17769.9506,9.5301,1,13,5738.609,0.289,1
-3,5,8,13,O,+3n,23115.432,9.526,1,5811.7636,0.7328,1,B-,-18915.0,500.0,0,13,24815.435,10.226,1
-5,4,9,13,F,x,42030.0,500.0,0,4297.0,38.0,0,B-,999999.0,999999.0,1,13,45121.0,537.0,0
6,10,4,14,Be,x,39954.502,132.245,1,4993.8973,9.4461,1,B-,16290.8166,133.9357,1,14,42892.92,141.97,1
4,9,5,14,B,na,23663.686,21.213,1,6101.6451,1.5152,1,B-,20643.7926,21.2133,1,14,25404.01,22.773,1
2,8,6,14,C,na,3019.89328,0.00375,1,7520.3198,0.0004,1,B-,156.4765,0.0037,1,14,3241.98862,0.00403,1
0,7,7,14,N,na,2863.41683,0.00022,1,7475.6148,0.0002,1,B-,-5144.3643,0.0252,1,14,3074.00425,0.00024,1
-2,6,8,14,O,na,8007.781,0.025,1,7052.2783,0.0018,1,B-,-23956.6215,41.1187,1,14,8596.706,0.027,1
-4,5,9,14,F,-p,31964.403,41.119,1,5285.2091,2.9371,1,B-,999999.0,999999.0,1,14,34315.196,44.142,1
7,11,4,15,Be,-n,49825.821,165.797,1,4540.9708,11.0532,1,B-,20868.4411,167.1256,1,15,53490.215,177.99,1
5,10,5,15,B,na,28957.379,21.029,1,5880.0438,1.4019,1,B-,19084.2343,21.0442,1,15,31087.023,22.575,1
3,9,6,15,C,-n,9873.145,0.8,1,7100.1696,0.0533,1,B-,9771.7071,0.8,1,15,10599.256,0.858,1
1,8,7,15,N,na,101.43809,0.00058,1,7699.4603,0.0002,1,B-,-2754.1841,0.4902,1,15,108.89827,0.00062,1
-1,7,8,15,O,na,2855.622,0.49,1,7463.6915,0.0327,1,B-,-13711.13,14.0086,1,15,3065.636,0.526,1
-3,6,9,15,F,-p,16566.752,14.0,1,6497.4597,0.9333,1,B-,-23648.6215,68.1377,1,15,17785.139,15.029,1
-5,5,10,15,Ne,-pp,40215.374,66.684,1,4868.7285,4.4456,1,B-,999999.0,999999.0,1,15,43172.977,71.588,1
8,12,4,16,Be,-nn,57447.139,165.797,1,4285.2851,10.3623,1,B-,20335.4399,167.6075,1,16,61672.036,177.99,1
6,11,5,16,B,na,37111.699,24.566,1,5507.3535,1.5354,1,B-,23417.5656,24.8254,1,16,39841.045,26.373,1
4,10,6,16,C,-nn,13694.133,3.578,1,6922.0546,0.2236,1,B-,8010.226,4.254,1,16,14701.255,3.84,1
2,9,7,16,N,-n,5683.907,2.301,1,7373.7971,0.1438,1,B-,10420.9094,2.3014,1,16,6101.925,2.47,1
0,8,8,16,O,na,-4737.00217,0.0003,1,7976.2072,0.0002,1,B-,-15412.184,5.3642,1,15,994914.61926,0.00032,1
-2,7,9,16,F,na,10675.182,5.364,1,6964.049,0.3353,1,B-,-13311.5932,21.1709,1,16,11460.278,5.758,1
-4,6,10,16,Ne,--,23986.775,20.48,1,6083.1777,1.28,1,B-,999999.0,999999.0,1,16,25750.86,21.986,1
7,12,5,17,B,x,43716.322,204.104,1,5269.6677,12.0061,1,B-,22684.4422,204.841,1,17,46931.399,219.114,1
5,11,6,17,C,2p-n,21031.88,17.365,1,6558.0262,1.0215,1,B-,13161.8007,22.9464,1,17,22578.65,18.641,1
3,10,7,17,N,+p,7870.079,15.0,1,7286.2294,0.8824,1,B-,8678.843,15.0,1,17,8448.876,16.103,1
1,9,8,17,O,na,-808.76421,0.00064,1,7750.7291,0.0002,1,B-,-2760.4655,0.2479,1,16,999131.75595,0.00069,1
-1,8,9,17,F,na,1951.701,0.248,1,7542.3284,0.0146,1,B-,-14548.7507,0.4323,1,17,2095.237,0.266,1
-3,7,10,17,Ne,na,16500.452,0.354,1,6640.4991,0.0208,1,B-,-18219.1277,59.6167,1,17,17713.962,0.38,1
-5,6,11,17,Na,x,34719.58,59.616,1,5522.7653,3.5068,1,B-,999999.0,999999.0,1,17,37273.0,64.0,1
8,13,5,18,B,-n,51792.64,204.165,1,4976.6306,11.3425,1,B-,26873.3742,206.3572,1,18,55601.683,219.18,1
6,12,6,18,C,++,24919.266,30.0,1,6426.1321,1.6667,1,B-,11806.0982,35.2821,1,18,26751.93,32.206,1
4,11,7,18,N,+,13113.167,18.57,1,7038.5627,1.0316,1,B-,13895.9838,18.5695,1,18,14077.563,19.935,1
2,10,8,18,O,na,-782.81634,0.00064,1,7767.0981,0.0002,1,B-,-1655.9288,0.4633,1,17,999159.61214,0.00069,1
0,9,9,18,F,na,873.112,0.463,1,7631.6383,0.0257,1,B-,-4444.5049,0.5888,1,18,937.324,0.497,1
-2,8,10,18,Ne,na,5317.617,0.363,1,7341.2577,0.0202,1,B-,-19720.3745,93.8819,1,18,5708.696,0.39,1
-4,7,11,18,Na,na,25037.992,93.881,1,6202.2176,5.2156,1,B-,999999.0,999999.0,1,18,26879.388,100.785,1
9,14,5,19,B,x,59770.251,525.363,1,4719.6346,27.6507,1,B-,27356.4961,534.4964,1,19,64166.0,564.0,1
7,13,6,19,C,-n,32413.754,98.389,1,6118.274,5.1784,1,B-,16557.4995,99.7475,1,19,34797.594,105.625,1
5,12,7,19,N,p-2n,15856.255,16.404,1,6948.5452,0.8634,1,B-,12523.3972,16.6143,1,19,17022.389,17.61,1
3,11,8,19,O,-n,3332.858,2.637,1,7566.4952,0.1388,1,B-,4820.3029,2.637,1,19,3577.969,2.83,1
1,10,9,19,F,na,-1487.44512,0.00082,1,7779.0192,0.0002,1,B-,-3239.4986,0.1601,1,18,998403.16207,0.00088,1
-1,9,10,19,Ne,+3n,1752.054,0.16,1,7567.3431,0.0084,1,B-,-11177.331,10.5364,1,19,1880.906,0.171,1
-3,8,11,19,Na,na,12929.384,10.535,1,6937.8864,0.5545,1,B-,-18909.0095,60.9189,1,19,13880.264,11.309,1
-5,7,12,19,Mg,-pp,31838.394,60.001,1,5901.4992,3.1579,1,B-,999999.0,999999.0,1,19,34179.92,64.413,1
10,15,5,20,B,-n,69401.569,546.357,1,4405.6529,27.3178,1,B-,31898.0019,593.0377,1,20,74505.644,586.538,1
8,14,6,20,C,x,37503.567,230.625,1,5961.4356,11.5312,1,B-,15737.0689,243.7459,1,20,40261.732,247.585,1
6,13,7,20,N,x,21766.498,78.894,1,6709.1717,3.9447,1,B-,17970.3261,78.8991,1,20,23367.295,84.696,1
4,12,8,20,O,-nn,3796.172,0.885,1,7568.5707,0.0442,1,B-,3813.6349,0.8854,1,20,4075.357,0.95,1
2,11,9,20,F,-n,-17.463,0.03,1,7720.1351,0.0015,1,B-,7024.4689,0.0297,1,19,999981.252,0.031,1
0,10,10,20,Ne,na,-7041.93217,0.00154,1,8032.2412,0.0002,1,B-,-13892.4207,1.109,1,19,992440.17525,0.00165,1
-2,9,11,20,Na,na,6850.489,1.109,1,7298.5028,0.0554,1,B-,-10627.2054,2.1681,1,20,7354.301,1.19,1
-4,8,12,20,Mg,+t,17477.694,1.863,1,6728.0252,0.0931,1,B-,999999.0,999999.0,1,20,18763.075,2.0,1
11,16,5,21,B,-nn,78382.887,558.664,1,4152.5265,26.6031,1,B-,32740.0,817.0,0,21,84147.485,599.75,1
9,15,6,21,C,x,45643.0,596.0,0,5674.0,28.0,0,B-,20411.0,611.0,0,21,49000.0,640.0,0
7,14,7,21,N,x,25231.915,134.048,1,6609.0159,6.3832,1,B-,17169.8816,134.584,1,21,27087.573,143.906,1
5,13,8,21,O,-3n,8062.034,12.0,1,7389.3747,0.5714,1,B-,8109.639,12.1342,1,21,8654.948,12.882,1
3,12,9,21,F,-nn,-47.605,1.8,1,7738.2934,0.0857,1,B-,5684.1712,1.8004,1,20,999948.893,1.932,1
1,11,10,21,Ne,na,-5731.776,0.038,1,7971.7136,0.0018,1,B-,-3546.919,0.0177,1,20,993846.685,0.041,1
-1,10,11,21,Na,na,-2184.857,0.042,1,7765.5581,0.002,1,B-,-13088.708,0.7557,1,20,997654.459,0.045,1
-3,9,12,21,Mg,x,10903.851,0.755,1,7105.0317,0.0359,1,B-,-16186.0,600.0,0,21,11705.764,0.81,1
-5,8,13,21,Al,x,27090.0,600.0,0,6297.0,29.0,0,B-,999999.0,999999.0,1,21,29082.0,644.0,0
10,16,6,22,C,-nn,53611.203,231.49,1,5421.0778,10.5223,1,B-,21846.3983,311.0627,1,22,57553.99,248.515,1
8,15,7,22,N,x,31764.805,207.779,1,6378.5347,9.4445,1,B-,22481.7725,215.435,1,22,34100.918,223.06,1
6,14,8,22,O,-4n,9283.032,56.921,1,7364.8722,2.5873,1,B-,6489.6562,58.2558,1,22,9965.744,61.107,1
4,13,9,22,F,+,2793.376,12.399,1,7624.2954,0.5636,1,B-,10818.0916,12.399,1,22,2998.812,13.31,1
2,12,10,22,Ne,na,-8024.716,0.018,1,8080.4656,0.0008,1,B-,-2843.3243,0.1325,1,21,991385.113,0.018,1
0,11,11,22,Na,na,-5181.391,0.132,1,7915.6624,0.006,1,B-,-4781.4051,0.1631,1,21,994437.547,0.141,1
-2,10,12,22,Mg,na,-399.986,0.159,1,7662.7645,0.0072,1,B-,-18601.0,401.0,0,21,999570.597,0.17,1
-4,9,13,22,Al,x,18201.0,401.0,0,6782.0,18.0,0,B-,-15439.0,641.0,0,22,19540.0,430.0,0
-6,8,14,22,Si,x,33640.0,500.0,0,6044.0,23.0,0,B-,999999.0,999999.0,1,22,36114.0,537.0,0
11,17,6,23,C,x,64171.0,997.0,0,5077.0,43.0,0,B-,27450.0,1082.0,0,23,68890.0,1070.0,0
9,16,7,23,N,x,36720.429,420.57,1,6236.6721,18.2856,1,B-,22099.0584,437.8271,1,23,39421.0,451.5,1
7,15,8,23,O,x,14621.371,121.712,1,7163.4856,5.2918,1,B-,11336.1072,126.1904,1,23,15696.686,130.663,1
5,14,9,23,F,na,3285.263,33.32,1,7622.3447,1.4487,1,B-,8439.3084,33.3206,1,23,3526.875,35.77,1
3,13,10,23,Ne,-n,-5154.045,0.104,1,7955.2561,0.0045,1,B-,4375.8085,0.1044,1,22,994466.905,0.112,1
1,12,11,23,Na,na,-9529.85352,0.00181,1,8111.4936,0.0002,1,B-,-4056.179,0.0317,1,22,989769.28195,0.00194,1
-1,11,12,23,Mg,-,-5473.675,0.032,1,7901.1229,0.0014,1,B-,-12221.7457,0.3461,1,22,994123.768,0.034,1
-3,10,13,23,Al,--,6748.071,0.345,1,7335.7275,0.015,1,B-,-17202.0,500.0,0,23,7244.351,0.37,1
-5,9,14,23,Si,x,23950.0,500.0,0,6554.0,22.0,0,B-,999999.0,999999.0,1,23,25711.0,537.0,0
10,17,7,24,N,x,46938.0,401.0,0,5887.0,17.0,0,B-,28438.0,433.0,0,24,50390.0,430.0,0
8,16,8,24,O,x,18500.404,164.874,1,7039.6855,6.8698,1,B-,10955.8885,191.6327,1,24,19861.0,177.0,1
6,15,9,24,F,x,7544.516,97.67,1,7463.5831,4.0696,1,B-,13496.1583,97.6717,1,24,8099.37,104.853,1
4,14,10,24,Ne,-nn,-5951.642,0.513,1,7993.3252,0.0214,1,B-,2466.2583,0.513,1,23,993610.649,0.55,1
2,13,11,24,Na,-n,-8417.901,0.017,1,8063.4882,0.0007,1,B-,5515.6774,0.021,1,23,990963.012,0.017,1
0,12,12,24,Mg,na,-13933.578,0.013,1,8260.7103,0.0006,1,B-,-13884.766,0.2282,1,23,985041.689,0.013,1
-2,11,13,24,Al,na,-48.812,0.228,1,7649.5806,0.0095,1,B-,-10793.9978,19.4734,1,23,999947.598,0.244,1
-4,10,14,24,Si,--,10745.186,19.472,1,7167.2329,0.8113,1,B-,-23275.0,501.0,0,24,11535.43,20.904,1
-6,9,15,24,P,x,34020.0,500.0,0,6165.0,21.0,0,B-,999999.0,999999.0,1,24,36522.0,537.0,0
11,18,7,25,N,x,55983.0,503.0,0,5613.0,20.0,0,B-,28654.0,529.0,0,25,60100.0,540.0,0
9,17,8,25,O,-n,27329.03,165.084,1,6727.8058,6.6034,1,B-,15994.8633,191.1909,1,25,29338.919,177.225,1
7,16,9,25,F,x,11334.167,96.442,1,7336.3065,3.8577,1,B-,13369.6698,100.7212,1,25,12167.727,103.535,1
5,15,10,25,Ne,na,-2035.503,29.045,1,7839.7994,1.1618,1,B-,7322.3107,29.0701,1,24,997814.797,31.181,1
3,14,11,25,Na,-nn,-9357.814,1.2,1,8101.3979,0.048,1,B-,3834.9684,1.2009,1,24,989953.974,1.288,1
1,13,12,25,Mg,na,-13192.782,0.047,1,8223.5028,0.0019,1,B-,-4276.808,0.0447,1,24,985836.966,0.05,1
-1,12,13,25,Al,na,-8915.974,0.065,1,8021.1366,0.0026,1,B-,-12743.2956,10.0002,1,24,990428.308,0.069,1
-3,11,14,25,Si,+3n,3827.322,10.0,1,7480.1109,0.4,1,B-,-16363.0,400.0,0,25,4108.798,10.735,1
-5,10,15,25,P,x,20190.0,400.0,0,6794.0,16.0,0,B-,999999.0,999999.0,1,25,21675.0,429.0,0
