N-Z,N,Z,A,EL,S2n,D_S2n,is_from_experiment,S2p,D_S2p,is_from_experiment,Qa,D_Qa,is_from_experiment,Q2b,D_Q2b,is_from_experiment,Qep,D_Qep,is_from_experiment,Qbn,D_Qbn,is_from_experiment
1,1,0,1,n,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
-1,0,1,1,H,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
0,1,1,2,H,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
1,2,1,3,H,8481.7963,0.0009,1,999999.0,999999.0,1,999999.0,999999.0,1,-13717.0,2000.0,0,999999.0,999999.0,1,999999.0,999999.0,1
-1,1,2,3,He,999999.0,999999.0,1,7718.0413,0.0004,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
-3,0,3,3,Li,999999.0,999999.0,1,-6800.0,2000.0,0,999999.0,999999.0,1,999999.0,999999.0,1,8242.0,2000.0,0,999999.0,999999.0,1
2,3,1,4,H,4657.23,100.0,1,999999.0,999999.0,1,999999.0,999999.0,1,-702.0609,234.5208,1,999999.0,999999.0,1,1618.5921,100.0,1
0,2,2,4,He,999999.0,999999.0,1,999999.0,999999.0,1,0.0,0.0,1,999999.0,999999.0,1,999999.0,999999.0,1,-34313.0,2000.0,0
-2,1,3,4,Li,999999.0,999999.0,1,2390.4751,212.132,1,999999.0,999999.0,1,999999.0,999999.0,1,3084.4079,212.132,1,999999.0,999999.0,1
3,4,1,5,H,-1800.0001,89.4427,1,999999.0,999999.0,1,999999.0,999999.0,1,21213.5602,102.4695,1,999999.0,999999.0,1,22396.2132,89.4427,1
1,3,2,5,He,19842.621,20.0,1,999999.0,999999.0,1,735.0,20.0,1,-25907.0,2003.0,0,999999.0,999999.0,1,-22163.274,213.0728,1
-1,2,3,5,Li,33131.0,2001.0,0,17848.8662,50.0,1,1964.9999,50.0,1,999999.0,999999.0,1,-20231.2132,111.8034,1,999999.0,999999.0,1
-3,1,4,5,Be,999999.0,999999.0,1,-7630.0,2003.0,0,999999.0,999999.0,1,999999.0,999999.0,1,27425.0,2003.0,0,999999.0,999999.0,1
4,5,1,6,H,-1111.9594,273.0942,1,999999.0,999999.0,1,999999.0,999999.0,1,27788.8441,254.1268,1,999999.0,999999.0,1,22573.1725,254.9126,1
2,4,2,6,He,975.4569,0.0532,1,999999.0,999999.0,1,999999.0,999999.0,1,-782.9387,5.448,1,999999.0,999999.0,1,-2158.1098,50.0,1
0,3,3,6,Li,27378.9456,212.132,1,25112.1907,100.0,1,-1473.7583,0.0015,1,-33233.0,2003.0,0,-26094.5377,89.4427,1,-31123.0,2003.0,0
-2,2,4,6,Be,999999.0,999999.0,1,-1372.1758,5.4478,1,999999.0,999999.0,1,999999.0,999999.0,1,-145.1712,20.7287,1,999999.0,999999.0,1
-4,1,5,6,B,999999.0,999999.0,1,-7419.0,2014.0,0,999999.0,999999.0,1,999999.0,999999.0,1,28352.0,2003.0,0,999999.0,999999.0,1
5,6,1,7,H,-100.0,1000.0,0,999999.0,999999.0,1,999999.0,999999.0,1,34228.0,1004.0,0,999999.0,999999.0,1,23472.0,1004.0,0
3,5,2,7,He,1300.7426,21.381,1,999999.0,999999.0,1,999999.0,999999.0,1,10304.1299,7.5598,1,999999.0,999999.0,1,3914.929,7.5595,1
1,4,3,7,Li,12914.4184,50.0,1,32563.2846,89.4427,1,-2467.6221,0.0042,1,-12769.4481,25.1503,1,-34257.591,254.1268,1,-11539.2472,5.4478,1
-1,3,4,7,Be,37512.0,2003.0,0,10040.1785,20.0001,1,-1587.1371,0.0708,1,999999.0,999999.0,1,-9112.0686,0.0884,1,-39622.0,2003.0,0
-3,2,5,7,B,999999.0,999999.0,1,-1419.7238,55.9691,1,-3415.0,2000.0,0,999999.0,999999.0,1,6300.7013,25.1503,1,999999.0,999999.0,1
4,6,2,8,He,2125.0484,0.1034,1,999999.0,999999.0,1,999999.0,999999.0,1,26668.0112,0.0955,1,999999.0,999999.0,1,8631.2602,0.0887,1
2,5,3,8,Li,9283.712,0.0474,1,35507.8621,254.1268,1,-6100.2403,100.0,1,-1975.7645,1.001,1,-35478.0,1004.0,0,-2894.5112,0.085,1
0,4,4,8,Be,29575.9983,5.4479,1,27228.3656,0.0639,1,91.8399,0.0354,1,-30122.5975,18.243,1,-28420.4269,7.5596,1,-30806.1992,25.1504,1
-2,3,5,8,B,40541.0,2003.0,0,5743.2536,0.9999,1,-4826.5368,212.1344,1,999999.0,999999.0,1,725.4933,0.9999,1,999999.0,999999.0,1
-4,2,6,8,C,999999.0,999999.0,1,-2111.2932,19.039,1,999999.0,999999.0,1,999999.0,999999.0,1,12006.3005,18.2431,1,999999.0,999999.0,1
5,7,2,9,He,1279.9373,47.4229,1,999999.0,999999.0,1,999999.0,999999.0,1,29587.3755,46.8165,1,999999.0,999999.0,1,11918.7038,46.8165,1
3,6,3,9,Li,6094.8357,0.1864,1,38758.0,1004.0,0,-10362.4579,89.4429,1,12538.4192,0.9217,1,999999.0,999999.0,1,11941.9153,0.1896,1
1,5,4,9,Be,20563.1828,0.104,1,29302.6187,7.5599,1,-2307.6989,20.0001,1,-17562.5203,2.138,1,-27550.203,0.117,1,-19644.4361,1.0028,1
-1,4,5,9,B,31402.7031,25.1665,1,17068.5609,0.9026,1,-1687.3169,50.0081,1,999999.0,999999.0,1,-15818.2898,0.9038,1,-30719.1014,18.2653,1
-3,3,6,9,C,999999.0,999999.0,1,1435.9685,2.1355,1,-10653.0,2003.0,0,999999.0,999999.0,1,16680.3285,2.1369,1,999999.0,999999.0,1
6,8,2,10,He,-1444.8277,92.8477,1,999999.0,999999.0,1,999999.0,999999.0,1,36589.6601,92.8477,1,999999.0,999999.0,1,16170.9236,92.8479,1
4,7,3,10,Li,4035.813,12.7214,1,999999.0,999999.0,1,-11248.0128,254.445,1,21002.017,12.7213,1,999999.0,999999.0,1,13632.8587,12.7216,1
2,6,4,10,Be,8476.8212,0.0883,1,33580.1385,0.1199,1,-7409.5245,0.0966,1,-3091.1864,0.1072,1,-35617.3109,46.8165,1,-7880.3173,0.9009,1
0,5,5,10,B,27013.5945,1.0,1,23473.136,0.0496,1,-4461.1857,0.015,1,-26749.4168,400.0,1,-20193.2654,0.1869,1,-24931.6787,2.1367,1
-2,4,6,10,C,35508.2323,18.2431,1,3820.9409,0.0787,1,-5101.2767,5.4482,1,999999.0,999999.0,1,-2938.749,0.1039,1,999999.0,999999.0,1
