N-Z,N,Z,A,EL,Sn,D_Sn,is_from_experiment,Sp,D_Sp,is_from_experiment,Q4b,D_Q4b,is_from_experiment,Qda,D_Qda,is_from_experiment,Qpa,D_Qpa,is_from_experiment,Qna,D_Qna,is_from_experiment
1,1,0,1,n,0.0,0.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
-1,0,1,1,H,999999.0,999999.0,1,0.0,0.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
0,1,1,2,H,2224.5662,0.0004,1,2224.5662,0.0004,1,999999.0,999999.0,1,23846.5299,0.0002,1,999999.0,999999.0,1,999999.0,999999.0,1
1,2,1,3,H,6257.2301,0.0004,1,999999.0,999999.0,1,999999.0,999999.0,1,17589.2999,0.0005,1,19813.8661,0.0002,1,999999.0,999999.0,1
-1,1,2,3,He,999999.0,999999.0,1,5493.4751,0.0001,1,999999.0,999999.0,1,18353.0548,0.0002,1,999999.0,999999.0,1,20577.6211,0.0005,1
-3,0,3,3,Li,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
2,3,1,4,H,-1600.0,100.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,21413.8661,100.0,1,999999.0,999999.0,1
0,2,2,4,He,20577.6211,0.0005,1,19813.8661,0.0002,1,999999.0,999999.0,1,0.0,0.0,1,0.0,0.0,1,-0.0,0.0,1
-2,1,3,4,Li,11415.0,2011.0,0,-3102.9999,212.132,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,23680.621,212.132,1
3,4,1,5,H,-200.0,134.1641,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
1,3,2,5,He,-735.0,20.0,1,20678.8661,101.9804,1,999999.0,999999.0,1,6992.2301,20.0,1,2959.5663,20.0,1,999999.0,999999.0,1
-1,2,3,5,Li,21715.6211,217.9449,1,-1964.9999,50.0,1,999999.0,999999.0,1,7458.475,50.0,1,999999.0,999999.0,1,4189.5662,50.0,1
-3,1,4,5,Be,999999.0,999999.0,1,-4527.0,2014.0,0,999999.0,999999.0,1,19183.0,2830.0,0,999999.0,999999.0,1,999999.0,999999.0,1
4,5,1,6,H,-911.9594,269.4075,1,999999.0,999999.0,1,-5444.0,2019.0,0,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
2,4,2,6,He,1710.4569,20.0001,1,22589.323,89.4427,1,999999.0,999999.0,1,3681.7732,100.0,1,7506.3394,0.0532,1,999999.0,999999.0,1
0,3,3,6,Li,5663.3245,50.0,1,4433.3246,20.0,1,999999.0,999999.0,1,22372.7716,0.0015,1,4019.7168,0.0015,1,4783.4717,0.0015,1
-2,2,4,6,Be,26835.0,2003.0,0,592.8241,50.2959,1,999999.0,999999.0,1,3762.651,212.202,1,-5428.0,2000.0,0,9090.2171,5.4478,1
-4,1,5,6,B,999999.0,999999.0,1,-2892.0,2832.0,0,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1,24299.0,2830.0,0
5,6,1,7,H,812.0,1036.0,0,999999.0,999999.0,1,21459.0,1004.0,0,999999.0,999999.0,1,999999.0,999999.0,1,999999.0,999999.0,1
3,5,2,7,He,-409.7143,7.5593,1,23091.5681,254.2392,1,999999.0,999999.0,1,3891.4875,89.7616,1,6316.0537,100.2853,1,999999.0,999999.0,1
