#nucid	Z	A	liso	energy_[keV]	D_energy_[keV]	beta-_%	D_beta-	Qb	D_Qb	Qb1n	D_Qb1n	Qb2n	D_Qb2n	Qb3n	D_Qb3n	T12	D_T12	P1n	D_P1n	P2n	D_P2n	P3n	D_P3n	Neueff_1n	lowerEff	upperEff	Neueff_2n	lowerEff	upperEff	D_T12_Hi	D_P1n_Hi	D_P2n_Hi	b_br	D_b_br	D_b_br_Hi	a_br	D_a_br	D_a_br_Hi
238Th	90	238	0	0	0	100	0	1631	284	-3074	284	-8951.55	284.784	0	0	564	120	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	120	0	0	100	0	0	0	0	0
235Th	90	235	0	0	0	100	0	1728.85	19.1127	-4392.43	13.6685	-9614.29	23.713	0	0	432	6	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6	0	0	100	0	0	0	0	0
234Th	90	234	0	0	0	100	0	274.088	3.1716	-4947.77	2.5322	-11476.2	9.1479	0	0	2.08284e+06	1987.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1987.2	0	0	100	0	0	0	0	0
237Th	90	237	0	0	0	100	0	2427.47	20.514	-3450.18	21.1184	-8476.44	28.0378	0	0	287.4	30	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	30	0	0	100	0	0	0	0	0
236Th	90	236	0	0	0	100	0	921.248	19.76	-4105.02	19.76	-10226.3	24.5448	0	0	2250	12	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	12	0	0	100	0	0	0	0	0
231Th	90	231	0	0	0	100	0	391.473	1.4598	-6429.05	2.8401	-12223.7	3.20087	0	0	91872	36	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	36	0	0	100	0	0	0	0	0
233Th	90	233	0	0	0	100	0	1242.23	1.1224	-5286.22	7.7342	-10835.3	2.00542	0	0	1309.8	2.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2.4	0	0	100	0	0	0	0	0
228Th	90	228	0	0	0	100	0	-2152.7	4.3399	-8130.79	7.372	-15405.3	12.7064	0	0	6.03242e+07	31556.9	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	31556.9	0	0	0	0	0	100	0	0
227Th	90	227	0	0	0	100	0	-1025.61	7.2815	-8300.16	11.3809	-14694.5	82.4997	0	0	1.61513e+06	311.04	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	311.04	0	0	0	0	0	100	0	0
224Th	90	224	0	0	0	100	0	-3866.77	12.1339	-10413.4	76.222	-18211.4	87.7658	0	0	1.04	0.02	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.02	0	0	0	0	0	100	0	0
223Th	90	223	0	0	0	100	0	-2952.21	76.0305	-10750.3	86.9546	-17132.2	122.579	0	0	0.6	0.02	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.02	0	0	0	0	0	100	0	0
226Th	90	226	0	0	0	100	0	-2835.95	11.9702	-9230.31	81.9738	-16807.3	17.9683	0	0	1841.4	1.8	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.8	0	0	0	0	0	100	0	0
225Th	90	225	0	0	0	100	0	-2046.45	82.0038	-9623.48	8.9473	-16170.1	138.359	0	0	523.2	2.4	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2.4	0	0	0	0	0	90	0	0
220Th	90	220	0	0	0	100	0	-5588.86	20.0508	-11965	71.0347	-20102.7	30.578	0	0	0.0102	0.0003	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0003	0	0	0	0	0	100	0	0
222Th	90	222	0	0	0	100	0	-4861.32	87.1915	-11243.2	60.2435	-19218	123.765	0	0	0.00197	1.4e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	1.4e-05	0	0	0	0	0	100	0	0
221Th	90	221	0	0	0	100	0	-3435.01	59.9069	-11409.8	16.6918	-17785.9	109.423	0	0	0.00173	3e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	3e-05	0	0	0	0	0	100	0	0
217Th	90	217	0	0	0	100	0	-4848.97	16.3966	-13689.3	26.835	-21741.4	84.9888	0	0	0.254	0.002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.002	0	0	0	0	0	100	0	0
216Th	90	216	0	0	0	100	0	-7525.26	27.0327	-15577.3	83.1944	-25304	89.0675	0	0	0.026	0.0002	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.0002	0	0	0	0	0	100	0	0
219Th	90	219	0	0	0	100	0	-4120.44	89.701	-12258.1	59.2112	-18734.6	114.281	0	0	0.00102	2e-05	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	2e-05	0	0	0	0	0	100	0	0
218Th	90	218	0	0	0	100	0	-6282.82	20.7132	-12759.3	16.3326	-21599.7	36.81	0	0	1.21e-07	6e-09	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	6e-09	0	0	0	0	0	100	0	0
215Th	90	215	0	0	0	100	0	-6883.1	82.6932	-16609.8	81.455	-24875.4	130.018	0	0	1.4	0.2	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.2	0	0	0	0	0	100	0	0
214Th	90	214	0	0	0	100	0	-8764.96	81.9051	-17030.6	58.1551	-27044.2	144.837	0	0	0.1	0.01	0	0	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	0.01	0	0	0	0	0	100	0	0
214Tl	81	214	0	0	0	100	0	6648	196	1597	196	-2128.73	196.01	0	0	11	2.4	34	12	0	0	0	0	0.66695	0.0203942	0.0200154	0.668	0.02	0.02	2.4	12	0	100	0	0	0	0	0
215Tl	81	215	0	0	0	100	0	5688	305	2142	300	-2908.79	309.595	0	0	9.7	3.8	4.6	4.6	0	0	0	0	0.666419	0.0213574	0.020038	0.668	0.02	0.02	3.8	4.6	0	100	0	0	0	0	0
212Tl	81	212	0	0	0	100	0	5998	200	871	200	-2965.14	200.011	0	0	30.9	8	1.8	1.8	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	8	1.8	0	100	0	0	0	0	0
213Tl	81	213	0	0	0	100	0	4987.41	27.8941	1261.42	27.0759	-3865.81	28.797	0	0	23.8	4.4	7.6	3.4	0	0	0	0	0.668	0.02	0.02	0.668	0.02	0.02	4.4	3.4	0	100	0	0	0	0	0
