# Geant4 calculation for neutron efficiency in BRIKEN-140H detector	
# Conf. File: 	BRIKEN-140H_CloversM2_pos58mm_ModOct17.pcgeo
# Code:	ParticleCounterHEV02, Geant4.10.1.03, data library G4NDL4.5
# Moderator:	Version Oct17 and later
# Clovers:	Model 2, position 58 mm from detector center. Compatible with setup using AIDA.
# Source:	Point source at the center of the moderator, isotropic emission
# Last update:	14Dic21
# Comments:	Calculation includes correction for active volume in tube types RIKEN and UPC. 
#	Validation against experimental data for 252Cf from 2018. Details in bit08Oct21.
# Calculations by M. Pallas & A. Tarifeno-Saldivia	
#--------------------------------------------------------------------------------------------	
# Energy bins:	0.1 MeV, range 0 to 20 MeV
# Typical relative error per bin (0 – 20 MeV):	0.36%
# Energy_lower/MeV	Neutron_efficiency
0	0.6653
0.1	0.667
0.2	0.6679
0.3	0.6663
0.4	0.6661
0.5	0.6644
0.6	0.6626
0.7	0.6585
0.8	0.6574
0.9	0.6558
1	0.6532
1.1	0.6501
1.2	0.6462
1.3	0.6426
1.4	0.6401
1.5	0.6373
1.6	0.6325
1.7	0.6309
1.8	0.6263
1.9	0.6235
2	0.6224
2.1	0.6172
2.2	0.615
2.3	0.6108
2.4	0.6086
2.5	0.6057
2.6	0.6027
2.7	0.6011
2.8	0.6023
2.9	0.5992
3	0.5888
3.1	0.5911
3.2	0.592
3.3	0.5915
3.4	0.5909
3.5	0.5885
3.6	0.585
3.7	0.5815
3.8	0.5777
3.9	0.5744
4	0.572
4.1	0.5652
4.2	0.5588
4.3	0.553
4.4	0.5484
4.5	0.5433
4.6	0.5401
4.7	0.5349
4.8	0.5318
4.9	0.5306
5	0.5249
5.1	0.5216
5.2	0.5194
5.3	0.5166
5.4	0.5156
5.5	0.5128
5.6	0.5081
5.7	0.5069
5.8	0.5035
5.9	0.5022
6	0.5009
6.1	0.4997
6.2	0.5077
6.3	0.5018
6.4	0.4865
6.5	0.4785
6.6	0.4758
6.7	0.4728
6.8	0.4688
6.9	0.4668
7	0.4637
7.1	0.4596
7.2	0.4568
7.3	0.4605
7.4	0.4688
7.5	0.4675
7.6	0.4656
7.7	0.4689
7.8	0.4582
7.9	0.4521
8	0.4498
8.1	0.4451
8.2	0.4353
8.3	0.4276
8.4	0.4243
8.5	0.4224
8.6	0.4204
8.7	0.4186
8.8	0.4184
8.9	0.4128
9	0.4051
9.1	0.4009
9.2	0.3958
9.3	0.3947
9.4	0.3933
9.5	0.3937
9.6	0.3918
9.7	0.386
9.8	0.3842
9.9	0.3825
10	0.3799
10.1	0.3792
10.2	0.3797
10.3	0.3804
10.4	0.3818
10.5	0.3855
10.6	0.3846
10.7	0.3853
10.8	0.385
10.9	0.3841
11	0.383
11.1	0.3807
11.2	0.3777
11.3	0.3748
11.4	0.374
11.5	0.3725
11.6	0.3694
11.7	0.3689
11.8	0.3697
11.9	0.3682
12	0.3668
12.1	0.366
12.2	0.3652
12.3	0.366
12.4	0.3651
12.5	0.3644
12.6	0.365
12.7	0.3638
12.8	0.3645
12.9	0.3635
13	0.3621
13.1	0.3613
13.2	0.3622
13.3	0.3633
13.4	0.3609
13.5	0.3625
13.6	0.3624
13.7	0.3609
13.8	0.36
13.9	0.362
14	0.36
14.1	0.3585
14.2	0.3564
14.3	0.3563
14.4	0.3569
14.5	0.3548
14.6	0.3543
14.7	0.3554
14.8	0.3546
14.9	0.3547
15	0.3527
15.1	0.3511
15.2	0.3505
15.3	0.349
15.4	0.3495
15.5	0.3479
15.6	0.3494
15.7	0.3471
15.8	0.3466
15.9	0.3448
16	0.3448
16.1	0.3421
16.2	0.342
16.3	0.341
16.4	0.3396
16.5	0.3366
16.6	0.3361
16.7	0.3342
16.8	0.3342
16.9	0.3316
17	0.3312
17.1	0.3299
17.2	0.3271
17.3	0.3276
17.4	0.3278
17.5	0.3259
17.6	0.3257
17.7	0.3255
17.8	0.3235
17.9	0.3236
18	0.3212
18.1	0.3202
18.2	0.3204
18.3	0.3202
18.4	0.3189
18.5	0.3189
18.6	0.3173
18.7	0.3165
18.8	0.316
18.9	0.3142
19	0.3142
19.1	0.3137
19.2	0.3129
19.3	0.3132
19.4	0.3126
19.5	0.311
19.6	0.3103
19.7	0.3078
19.8	0.3088
19.9	0.2977
